% Model:              nanoholes_h_sub.mph
% Version:            COMSOL 6.0.0.405
% Date:               Mar 27 2024, 10:01
% Table:              Table 1 - Global Evaluation 1
% h_air (nm)             freq (THz)               reflection (1)           transmission (1)         reflection_phi (rad)     transmission_phi (rad)
0.9999999999999999       304.66713211382114       0.11690324124197583      0.8830967587580294       -1.7006128715399738      2.0583417880570565
100.99999999999999       304.66713211382114       0.11896789814494851      0.8810321018547748       -1.6907768321868282      1.4232274713084458
201                      304.66713211382114       0.11900558218680213      0.8809944178132926       -1.6917410934733197      0.7844396137402949
301                      304.66713211382114       0.11901137941243878      0.8809886205875043       -1.6916754612484475      0.1458897403718899
400.99999999999994       304.66713211382114       0.11901643107658862      0.8809835689233887       -1.691698496383044       -0.49262712459206
501                      304.66713211382114       0.1190292948388119       0.8809707051611683       -1.6917539630977074      -1.1311664933820784
601                      304.66713211382114       0.11902273232237061      0.8809772676784167       -1.6918087078221504      -1.7696974938397367
701                      304.66713211382114       0.11899833117439182      0.8810016688256488       -1.6917192328415989      -2.4082153240047193
801                      304.66713211382114       0.11899858853702365      0.8810014114629335       -1.6916906745400606      -3.0467561320771614
900.9999999999999        304.66713211382114       0.11903432412902072      0.8809656758710382       -1.6918524175944591      2.597835199639743
1000.9999999999999       304.66713211382114       0.11902618737782515      0.8809738126222652       -1.6917819026957495      1.9593601543953663
1101                     304.66713211382114       0.11900886116159515      0.8809911388383912       -1.691806553779287       1.3208358060352763
1200.9999999999998       304.66713211382114       0.11899687387840031      0.8810031261215544       -1.6918140405854545      0.6822915847196646
1301                     304.66713211382114       0.11899773768251846      0.8810022623174902       -1.6917522478868514      0.04376018476466399
1400.9999999999998       304.66713211382114       0.11903161844295698      0.8809683815570487       -1.6917115280735049      -0.594772214120194
1501                     304.66713211382114       0.11902547451252059      0.8809745254875235       -1.6917644866869075      -1.2332782024413582
1600.9999999999998       304.66713211382114       0.11900144577177382      0.8809985542282931       -1.6918208931934213      -1.8718149526475065
1701                     304.66713211382114       0.11899705124943066      0.8810029487504305       -1.6917130304265848      -2.5103447723550145
1801                     304.66713211382114       0.11901983664294384      0.8809801633571198       -1.6917327272362663      3.1342785983732675
1900.9999999999998       304.66713211382114       0.1190251776279586       0.8809748223721127       -1.6918059971994261      2.4957439424051104
2000.9999999999998       304.66713211382114       0.1190200423311702       0.880979957668937        -1.6918759240373678      1.857238284522952
2101                     304.66713211382114       0.11900650124781217      0.8809934987520665       -1.6917984182102075      1.2186978281139405
2201                     304.66713211382114       0.11900470268022112      0.8809952973197863       -1.6918811010513253      0.5801599363092078
2301                     304.66713211382114       0.11899608042810841      0.8810039195719407       -1.6916771939885993      -0.058335842449456214
2400.9999999999995       304.66713211382114       0.11902060290720909      0.8809793970927241       -1.6917863255272114      -0.696910171671275
2501                     304.66713211382114       0.11902509251097558      0.8809749074899339       -1.6918152350595166      -1.3354157378675258
2601                     304.66713211382114       0.11901316269500163      0.8809868373041863       -1.6917945907818632      -1.9739621190122616
2700.9999999999995       304.66713211382114       0.11900021452689126      0.8809997854738119       -1.6916251498323533      -2.612462568623746
2801                     304.66713211382114       0.11901487253912645      0.8809851274609178       -1.6917454611761598      3.032166577283752
2901                     304.66713211382114       0.1190181342335668       0.8809818657665781       -1.6918286758244723      2.393620706647456
3001                     304.66713211382114       0.11902210206840923      0.8809778979314201       -1.6916507065769282      1.755159834186267
3100.9999999999995       304.66713211382114       0.11900145111173047      0.8809985488881805       -1.6916973512260762      1.1166121976989756
3201                     304.66713211382114       0.11901515415026849      0.8809848458495881       -1.6919027212017137      0.4780243054161999
3301                     304.66713211382114       0.11898535593233309      0.8810146440677227       -1.6917774352892556      -0.16049806965824898
3400.9999999999995       304.66713211382114       0.11901385443797478      0.8809861455619359       -1.691853859726924       -0.7990323178831168
3500.9999999999995       304.66713211382114       0.11900918540465705      0.8809908145954013       -1.6917548251855008      -1.4375199249452772
3601                     304.66713211382114       0.11898348111667449      0.8810165188833142       -1.6918109380235733      -2.0760599093172907
3701                     304.66713211382114       0.11897715931354852      0.8810228406864277       -1.6917916292124686      -2.714629794238438
3800.9999999999995       304.66713211382114       0.11901869968623158      0.8809813003134442       -1.691791015174633       2.930015218230609
3901                     304.66713211382114       0.11902741334013854      0.8809725866586796       -1.6917038420970079      2.2915233545712246
4001                     304.66713211382114       0.11901730607560845      0.8809826939244652       -1.691700925421077       1.6530067707730423
