% Model:              nanoholes_rw_sweep.mph
% Version:            COMSOL 6.0.0.405
% Date:               Mar 27 2024, 11:23
% Table:              Table 1 - Global Evaluation 1
% h_sub (nm)             freq (THz)               reflection (1)           transmission (1)         reflection_phi (rad)     transmission_phi (rad)
0.9999999999999999       304.66713211382114       0.11899941102909166      0.8810005889709386       -1.2765931817682525      -1.0704091544506869
100.99999999999999       304.66713211382114       0.11900650900015694      0.8809934909997497       0.562258743555194        2.990647085431906
201                      304.66713211382114       0.11902382618694078      0.880976173813134        2.4013709246127397       0.7685846466736532
301                      304.66713211382114       0.1190241867836519       0.8809758132163613       -2.0429937583362983      -1.4535365656379913
400.99999999999994       304.66713211382114       0.1189957919394963       0.8810042080605333       -0.2037014251935266      2.607630448161603
501                      304.66713211382114       0.11900773266322255      0.8809922673367054       1.6352635539356177       0.38550765901026784
601                      304.66713211382114       0.11904526717057762      0.8809547328294175       -2.8091139691802947      -1.8366419355012036
701                      304.66713211382114       0.1190087091304351       0.8809912908694317       -0.9699235594732718      2.224532362732145
801                      304.66713211382114       0.11901195876731115      0.8809880412326349       0.8688814301445917       0.002365889621659092
900.9999999999999        304.66713211382114       0.11899208393597493      0.8810079160640569       2.7081013886217007       -2.2196569123955996
1000.9999999999999       304.66713211382114       0.11902477850579851      0.8809752214942365       -1.7364327712224683      1.841373145302263
1101                     304.66713211382114       0.1189961602989847       0.8810038397010117       0.10292894244149572      -0.380650712083618
1200.9999999999998       304.66713211382114       0.11901297576776355      0.8809870242321541       1.941932562483335        -2.602738775560024
1301                     304.66713211382114       0.11902404767219602      0.8809759523277015       -2.5022354327863927      1.4583691877725176
1400.9999999999998       304.66713211382114       0.1190027640717875       0.8809972359282642       -0.6633166034465316      -0.7637424090081375
1501                     304.66713211382114       0.11900182604999063      0.8809981739499865       1.1758441904766936       -2.9858165576342346
1600.9999999999998       304.66713211382114       0.11902715495895844      0.8809728450411414       3.0147135938442466       1.0752743065582047
1701                     304.66713211382114       0.119012498086618        0.8809875019133263       -1.429594547612433       -1.1468482137728375
1801                     304.66713211382114       0.1190009817612192       0.8809990182386687       0.4096088303475067       2.9142961694199037
1900.9999999999998       304.66713211382114       0.1190212485239847       0.8809787514760014       2.2486192529704034       0.6921718522472766
2000.9999999999998       304.66713211382114       0.11901389886828997      0.880986101131721        -2.1955821258660406      -1.5298766732748155
2101                     304.66713211382114       0.1190087274347468       0.8809912725653383       -0.3565573918276344      2.5312262040844145
2201                     304.66713211382114       0.11899484658040924      0.8810051534194633       1.482571045342558        0.30917401469084893
2301                     304.66713211382114       0.11902730233815155      0.8809726976621746       -2.961725300183266       -1.9129561979071257
2400.9999999999995       304.66713211382114       0.11900288969594111      0.8809971103044043       -1.1226970701625771      2.148151299520545
2501                     304.66713211382114       0.11899928245170156      0.8810007175480028       0.7162155244722512       -0.07397498736106684
2601                     304.66713211382114       0.11901296850762963      0.8809870314922759       2.5552962696065653       -2.296042881295524
2700.9999999999995       304.66713211382114       0.11901698099528406      0.88098301900468         -1.8888624298747936      1.7650816079761324
2801                     304.66713211382114       0.11899951489728591      0.8810004851026032       -0.0499681138196712      -0.4570574510678613
2901                     304.66713211382114       0.11901459876911948      0.8809854012312233       1.7890816827666796       -2.6791356130267836
3001                     304.66713211382114       0.11902624067211137      0.8809737593278436       -2.6550602977279456      1.3819653971708161
3100.9999999999995       304.66713211382114       0.11900190996465702      0.8809980900351984       -0.8160748291058232      -0.8401167367986192
3201                     304.66713211382114       0.11901366928659048      0.8809863307133263       1.0228720484829648       -3.06223112430272
3301                     304.66713211382114       0.11902348852143335      0.8809765114786048       2.8620475635945395       0.9989282830136953
3400.9999999999995       304.66713211382114       0.11901409992582566      0.8809859000740445       -1.582246166984586       -1.2231900861759115
3500.9999999999995       304.66713211382114       0.1189941712180261       0.8810058287821114       0.2568707125518164       2.8379382607621473
3601                     304.66713211382114       0.11901796402139736      0.8809820359786195       2.095822615846123        0.6158240858293499
3701                     304.66713211382114       0.11900538866299415      0.8809946113368917       -2.3485374359680407      -1.6063328902027298
3800.9999999999995       304.66713211382114       0.11899452123202864      0.8810054787680096       -0.5094850239968609      2.454810007252888
3901                     304.66713211382114       0.1190001600177738       0.8809998399821802       1.3296329622244687       0.23273768494831143
