% Model:              nanoholes_rw_sweep.mph
% Version:            COMSOL 6.0.0.405
% Date:               Apr 3 2024, 09:34
% Table:              Table 1 - Global Evaluation 1
% r (nm)                 h_meta (nm)              freq (THz)               reflection (1)           transmission (1)         reflection_phi (rad)     transmission_phi (rad)
19.999999999999996       600                      304.66713211382114       0.3029472992359588       0.6970527007639016       0.19760432044754367      -0.10925581040990233
19.999999999999996       610                      304.66713211382114       0.3008799671472727       0.6991200328525444       -0.6843977186919403      -0.5505657327817952
19.999999999999996       619.9999999999999        304.66713211382114       0.2988171134710975       0.7011828865289632       -1.5692513037275595      -0.9925628572626185
19.999999999999996       629.9999999999999        304.66713211382114       0.2972093495173219       0.7027906504823629       -2.456663089806822       -1.4351380343975977
19.999999999999996       639.9999999999999        304.66713211382114       0.2963127380614298       0.7036872619386476       2.9373538903771603       -1.8781238734216774
19.999999999999996       650                      304.66713211382114       0.2963252119378147       0.7036747880622806       2.0475315150811637       -2.3212532640944716
19.999999999999996       660                      304.66713211382114       0.2972282750112904       0.7027717249886865       1.158385311095926        -2.764223907917224
19.999999999999996       670                      304.66713211382114       0.2988987837736892       0.7011012162263606       0.2710022578998411       3.0763842721472003
19.999999999999996       680                      304.66713211382114       0.30095304362704717      0.6990469563731558       -0.6137536610418762      2.634418410436003
19.999999999999996       690                      304.66713211382114       0.3030240961792877       0.6969759038206643       -1.495683145621739       2.193088984122815
19.999999999999996       700                      304.66713211382114       0.30474297125952166      0.695257028740336        -2.3749889137616913      1.7523695320031492
22                       600                      304.66713211382114       0.3025016710877032       0.6974983289122629       0.2602568097806336       -0.07856844009425012
22                       610                      304.66713211382114       0.30009770512275225      0.6999022948772676       -0.62015521925747        -0.5192636018547936
22                       619.9999999999999        304.66713211382114       0.2976440389681171       0.7023559610319741       -1.5039578224881218      -0.9607511650556482
22                       629.9999999999999        304.66713211382114       0.29565547258032054      0.7043445274197241       -2.3908025660463648      -1.4029255603276691
22                       639.9999999999999        304.66713211382114       0.2945066939497116       0.7054933060503724       3.0033430600666735       -1.8455905658103948
22                       650                      304.66713211382114       0.29437359664377627      0.7056264033568757       2.1133742236080515       -2.288475933391026
22                       660                      304.66713211382114       0.29533531036797567      0.7046646896310954       1.2239884504350036       -2.7312346909853944
22                       670                      304.66713211382114       0.29720360829097914      0.7027963917090871       0.3365306005099698       3.1096410914132298
22                       680                      304.66713211382114       0.2995762023193643       0.700423797680147        -0.54791017496153        2.6680144372353833
22                       690                      304.66713211382114       0.3020474408459251       0.697952559154102        -1.4289443386209344      2.2271610908286132
22                       700                      304.66713211382114       0.3041392590209966       0.6958607409788365       -2.3069321387438784      1.7870409276432295
24                       600                      304.66713211382114       0.30209996021659896      0.6979000397834804       0.3264131387020127       -0.04615621944524386
24                       610                      304.66713211382114       0.2993427894680151       0.7006572105318786       -0.5522151867529523      -0.4861611605535448
24                       619.9999999999999        304.66713211382114       0.2964799101883053       0.7035200898116615       -1.4347081620964088      -0.9270588977857664
24                       629.9999999999999        304.66713211382114       0.2940973811195763       0.7059026188802889       -2.3208407982190375      -1.3687751637104226
24                       639.9999999999999        304.66713211382114       0.29259957154577526      0.7074004284541927       3.073457105525459        -1.8111161023121531
24                       650                      304.66713211382114       0.29230620677709535      0.7076937932228865       2.183313421934812        -2.253742662203739
24                       660                      304.66713211382114       0.2932730926544913       0.7067269073452543       1.2936485704997276       -2.696265602673191
24                       670                      304.66713211382114       0.29532095480589904      0.7046790451940494       0.40609309093556883      -3.1383025341402195
24                       680                      304.66713211382114       0.2980520175076235       0.701947982492296        -0.4781481237951464      2.703587188329934
24                       690                      304.66713211382114       0.30092768879408394      0.6990723112058932       -1.3584750638760201      2.2631677648330073
24                       700                      304.66713211382114       0.30341748848772443      0.6965825115124444       -2.2350775635955187      1.8236446190294904
25.999999999999996       600                      304.66713211382114       0.30173625776836005      0.6982637422316792       0.3958165317629518       -0.012111634029577835
25.999999999999996       610                      304.66713211382114       0.29864872431638667      0.7013512756835097       -0.48084578368831216     -0.45136306377557556
25.999999999999996       619.9999999999999        304.66713211382114       0.29535341380171204      0.7046465861982256       -1.361838062940451       -0.8916177818981902
25.999999999999996       629.9999999999999        304.66713211382114       0.2925188736573675       0.7074811263426679       -2.2470768906139216      -1.3328345598506246
25.999999999999996       639.9999999999999        304.66713211382114       0.2906501107059151       0.7093498892939558       -3.135566066186746       -1.774758197734284
25.999999999999996       650                      304.66713211382114       0.2901212094866166       0.7098787905133114       2.2573413312892137       -2.2171289764836004
25.999999999999996       660                      304.66713211382114       0.29103952798633825      0.708960472013833        1.367320482627467        -2.6594106803106072
25.999999999999996       670                      304.66713211382114       0.293243085514106        0.7067569144858475       0.47955005254440525      -3.101182938209978
25.999999999999996       680                      304.66713211382114       0.29627592757902427      0.7037240724208487       -0.4045290110836102      2.741045125762515
25.999999999999996       690                      304.66713211382114       0.2995818966007159       0.7004181034004996       -1.2842800580315468      2.3010721907711114
25.999999999999996       700                      304.66713211382114       0.3025429242536583       0.6974570757468973       -2.159681559027506       1.8621155254826893
28                       600                      304.66713211382114       0.3014425049676362       0.698557495032615        0.46846940316378616      0.023554016874111263
28                       610                      304.66713211382114       0.2980081218871375       0.7019918781128208       -0.40600112954883594     -0.4148773859640693
28                       619.9999999999999        304.66713211382114       0.2942771134405007       0.7057228865596638       -1.2852721307944475      -0.8544467078533701
28                       629.9999999999999        304.66713211382114       0.29096715380201876      0.7090328461980802       -2.169390830839029       -1.295084813461676
28                       639.9999999999999        304.66713211382114       0.28867507631789047      0.7113249236820448       -3.057462803509675       -1.736586446712347
28                       650                      304.66713211382114       0.2878467997313049       0.7121532002686988       2.3354188257471633       -2.1785994363348187
28                       660                      304.66713211382114       0.2886681627951493       0.7113318372045431       1.4449952430887731       -2.6206768574891104
28                       670                      304.66713211382114       0.2909750758963765       0.7090249241035994       0.5568927212215506       -3.0621912048946998
28                       680                      304.66713211382114       0.2943180092392122       0.7056819907608924       -0.32720701423449977     2.7803675722022563
28                       690                      304.66713211382114       0.2980425648023021       0.7019574351977097       -1.2064203564492897      2.340812344114072
28                       700                      304.66713211382114       0.3014831280653343       0.6985168719345282       -2.0807494362157275      1.902387086010787
30                       600                      304.66713211382114       0.30121749720533075      0.6987825027945681       0.5440922089872088       0.06074656136909857
30                       610                      304.66713211382114       0.297468613707191        0.7025313862927721       -0.3278777977584938      -0.37679875190816836
30                       619.9999999999999        304.66713211382114       0.293285657683485        0.7067143423166556       -1.2051346150169762      -0.8155654677856936
30                       629.9999999999999        304.66713211382114       0.28945998427102737      0.710540015729           -2.0879862504911513      -1.2555928687784874
30                       639.9999999999999        304.66713211382114       0.2866732120260556       0.7133267879738878       -2.9753997148255977      -1.6966152640158276
30                       650                      304.66713211382114       0.28548902550400324      0.7145109744958372       2.4174051132762067       -2.1383051605291037
30                       660                      304.66713211382114       0.2861458674819486       0.7138541325185471       1.526765510737242        -2.5800368144542634
30                       670                      304.66713211382114       0.28850905754926537      0.7114909424508677       0.6381825526816979       -3.021345014144598
30                       680                      304.66713211382114       0.29210644708683836      0.7078935529131222       -0.24609501618477125     2.821504256310268
30                       690                      304.66713211382114       0.296276187559199        0.7037238124409906       -1.1249865796481473      2.3823793514266165
30                       700                      304.66713211382114       0.30022923034679166      0.6997707696531374       -1.9983334791079936      1.944529356541363
31.999999999999996       600                      304.66713211382114       0.3010392594993442       0.6989607405008668       0.6226555651138573       0.09944625090471997
31.999999999999996       610                      304.66713211382114       0.2970187810523413       0.7029812189475168       -0.24656282398520074     -0.33711467433594583
31.999999999999996       619.9999999999999        304.66713211382114       0.29239843342450805      0.7076015665756453       -1.1215703201686675      -0.7750271544061222
31.999999999999996       629.9999999999999        304.66713211382114       0.28802546903429244      0.7119745309657535       -2.0027942832067267      -1.2143332408212677
31.999999999999996       639.9999999999999        304.66713211382114       0.2847037456377206       0.7152962543623211       -2.8893596946085265      -1.6548093937844959
31.999999999999996       650                      304.66713211382114       0.28308297397014937      0.7169170260303136       2.503594190600442        -2.096100896952202
31.999999999999996       660                      304.66713211382114       0.2834809149908859       0.7165190850096212       1.6125621204829037       -2.5375779399679304
31.999999999999996       670                      304.66713211382114       0.2858409601998012       0.7141590398000021       0.7234652331312077       -2.97859747920667
31.999999999999996       680                      304.66713211382114       0.2896880255615598       0.7103119744386267       -0.1611623679869482      2.8645190898308126
31.999999999999996       690                      304.66713211382114       0.2942696263797647       0.7057303736203453       -1.0399451447316754      2.4257473264480716
31.999999999999996       700                      304.66713211382114       0.29876255112864497      0.7012374488714644       -1.9125531253627563      1.988387548548452
33.99999999999999        600                      304.66713211382114       0.30092424067065077      0.6990757593292785       0.7042346585017211       0.13970426889123602
33.99999999999999        610                      304.66713211382114       0.2966947705619191       0.7033052294380506       -0.16208741247120903     -0.2958430206723887
33.99999999999999        619.9999999999999        304.66713211382114       0.2916264288785917       0.7083735711215438       -1.034532623512867       -0.7328217855847474
33.99999999999999        629.9999999999999        304.66713211382114       0.286704847485379        0.7132951525146666       -1.913883651056925       -1.1713441930020214
33.99999999999999        639.9999999999999        304.66713211382114       0.28278678764192905      0.7172132123580782       -2.7993878218429598      -1.611224418193599
33.99999999999999        650                      304.66713211382114       0.2806296885663987       0.7193703114336857       2.5939580423670625       -2.052050627746674
33.99999999999999        660                      304.66713211382114       0.28070920534783184      0.7192907946521641       1.7026246780439953       -2.493172244322617
33.99999999999999        670                      304.66713211382114       0.2829685350922232       0.717031464908232        0.8128978536237896       -2.9339659523409356
33.99999999999999        680                      304.66713211382114       0.2869987966992691       0.7130012033007243       -0.07233488787077653     2.909387846429222
33.99999999999999        690                      304.66713211382114       0.29198961508868626      0.7080103849112163       -0.95122913201994        2.4709441952235
33.99999999999999        700                      304.66713211382114       0.29703344254718417      0.7029665574527826       -1.8231653689330287      2.034097304562198
36                       600                      304.66713211382114       0.30089817486658393      0.6991018251333792       0.7886491471277327       0.18148669955236862
36                       610                      304.66713211382114       0.2964738816368496       0.7035261183629736       -0.07451578923222504     -0.2529880111768759
36                       619.9999999999999        304.66713211382114       0.29100424961674404      0.7089957503830078       -0.9440539181125902      -0.6889382840685846
36                       629.9999999999999        304.66713211382114       0.28549629152800277      0.7145037084716959       -1.8211665773284766      -1.126586372520168
36                       639.9999999999999        304.66713211382114       0.2809383562361268       0.7190616437638795       -2.705265531786873       -1.5657652773185673
36                       650                      304.66713211382114       0.27819411540420397      0.7218058845958061       2.688554041281394        -2.006092892000275
36                       660                      304.66713211382114       0.2778318605709594       0.7221681394285059       1.7968923174758182       -2.4468992621265113
36                       670                      304.66713211382114       0.27994255357254066      0.7200574464275658       0.9065770659023344       -2.8873990371304936
36                       680                      304.66713211382114       0.28405334307745006      0.7159466569223732       0.020698677363762467     2.956222228362857
36                       690                      304.66713211382114       0.28940562198697434      0.7105943780129025       -0.8585651670343271      2.5180783987479716
36                       700                      304.66713211382114       0.29499909043591327      0.7050009095640137       -1.730108528749705       2.081679735394532
38                       600                      304.66713211382114       0.300935500656527        0.6990644993435059       0.8757793114968064       0.22475727201788803
38                       610                      304.66713211382114       0.2963863317190968       0.7036136682808914       0.016149035759245624     -0.20851975299497105
38                       619.9999999999999        304.66713211382114       0.2905579702356721       0.7094420297642801       -0.8502048370022435      -0.6433715104481371
38                       629.9999999999999        304.66713211382114       0.2844632919737483       0.7155367080261198       -1.7246907511973906      -1.0800507149456053
38                       639.9999999999999        304.66713211382114       0.2792194437442067       0.7207805562558747       -2.607055728547335       -1.5184481699660168
38                       650                      304.66713211382114       0.27579658768251336      0.7242034123175403       2.787585990272291        -1.9581816335986515
38                       660                      304.66713211382114       0.27489964194805966      0.7251003580524517       1.8958328180050206       -2.3985541112246906
38                       670                      304.66713211382114       0.27670895812596025      0.723291041874134        1.0046968412696806       -2.838831650658578
38                       680                      304.66713211382114       0.28084365161973696      0.7191563483800547       0.11800565192652433      3.0050375653757464
38                       690                      304.66713211382114       0.2865134183890239       0.7134865816108786       -0.7618018504605776      2.5671593817171017
38                       700                      304.66713211382114       0.2926602448607567       0.7073397551395681       -1.6334096821101591      2.1311278313893043
39.99999999999999        600                      304.66713211382114       0.30099536728868836      0.6990046327113103       0.9658310735620772       0.2696100148677016
39.99999999999999        610                      304.66713211382114       0.29642311151352113      0.7035768884864699       0.10992004485558143      -0.1624355305470962
39.99999999999999        619.9999999999999        304.66713211382114       0.29028924902098735      0.7097107509791993       -0.7529874332472426      -0.5960970923269296
39.99999999999999        629.9999999999999        304.66713211382114       0.28362551675964875      0.7163744832403872       -1.6243866853465903      -1.0316960665539574
39.99999999999999        639.9999999999999        304.66713211382114       0.27764684989793864      0.7223531501021208       -2.5045449880398287      -1.4691924411757764
39.99999999999999        650                      304.66713211382114       0.2734825820739612       0.7265174179260256       2.8910814515550407       -1.9082903847678174
39.99999999999999        660                      304.66713211382114       0.2719381608594455       0.7280618391405425       1.9994277524054436       -2.34820231073573
39.99999999999999        670                      304.66713211382114       0.27331929669956395      0.7266807033002994       1.107650079657382        -2.788151166729618
39.99999999999999        680                      304.66713211382114       0.27736396736079877      0.7226360326392759       0.21986720742744045      3.0559109597320036
39.99999999999999        690                      304.66713211382114       0.2832753065233809       0.7167246934766925       -0.66079988141392        2.618276732207444
39.99999999999999        700                      304.66713211382114       0.289970921915076        0.710029078084818        -1.532683945083196       2.1825794191258554
